Weekly Enabled Campaign Performance,,,,,,,,,,,,,,,,
"January 1, 2025 - January 31, 2025",,,,,,,,,,,,,,,,
Campaign,Campaign state,Campaign type,Campaign bid strategy type,Impr.,Clicks,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Conv. value,Conv. value / cost,Results,Results value
Allentown Website Traffic - Radius Targeting - ZS - 10/12/24,Enabled,Search,Maximize clicks,"6,408",523,8.16%,USD,0.9,470.89,38.23,12.32,7.31%,"1,366.78",2.9,Contact: 6.00; Get directions: 16.23; Phone call lead: 1.00; Store visit: 22.00,Contact: 72.00; Get directions: 486.78; Phone call lead: 20.00; Store visit: 880.00
Ewing Website Traffic - Radius Targeting - ZS - 30/12/24,Enabled,Search,Maximize clicks,"17,412","1,053",6.05%,USD,0.81,855.95,44.03,19.44,4.18%,"1,521.80",1.78,Contact: 25.00; Get directions: 23.94; Phone call lead: 2.00; Store visit: 20.09,Contact: 300.00; Get directions: 718.27; Phone call lead: 20.00; Store visit: 803.53
Holiday S. Shopping - 27/12/24 - ZS,Enabled,Shopping,Maximize clicks,"77,351","1,032",1.33%,USD,0.86,892.29,35.9,24.86,3.48%,"1,212.57",1.36,Contact: 4.00; Get directions: 22.33; Store visit: 13.57,Contact: 48.00; Get directions: 669.80; Store visit: 542.77
Living Room Search - 4 Conversions - ZS,Enabled,Search,Maximize Conversion Value,"16,261","1,151",7.08%,USD,1.32,1519.96,98.36,15.45,8.55%,"3,347.85",2.2,Contact: 3.00; Get directions: 58.67; Phone call lead: 1.01; Store visit: 39.69,"Contact: 36.00; Get directions: 1,760.20; Phone call lead: 20.11; Store visit: 1,587.66"
P.Max - 2 Conversions  - ZS,Enabled,Performance Max,Maximize Conversions,"81,098","3,103",3.83%,USD,0.67,2089.24,364.91,5.73,11.59%,"13,311.04",6.37,Contact: 142.00; Get directions: 128.53; Phone call lead: 8.84; Store visit: 236.38,"Contact: 1,704.00; Get directions: 3,855.95; Phone call lead: 176.81; Store visit: 9,455.09"
P.Max - Re.Mar. Existing Audience Segments - ZS,Enabled,Performance Max,Maximize Conversions,"908,827","1,097",0.12%,USD,2.07,2267.6,"1,332.10",1.7,8.85%,"52,807.90",23.29,Contact: 17.00; Get directions: 7.76; Lead: 1.00; Phone call lead: 2.00; Store visit: 80.10,"Contact: 204.00; Get directions: 232.66; Lead: 1.00; Phone call lead: 40.00; Store visit: 3,203.90"
Package Deals - P.Max - 2 Conversions  - ZS,Enabled,Performance Max,Maximize Conversions,"682,580","8,086",1.18%,USD,0.59,4772.98,669.87,7.13,8.13%,"24,654.74",5.17,Contact: 261.00; Get directions: 214.00; Phone call lead: 39.99; Store visit: 455.87,"Contact: 3,132.00; Get directions: 6,419.88; Phone call lead: 799.82; Store visit: 18,234.85"
Reading Website Traffic - Radius Targeting - ZS - 5/12/24,Enabled,Search,Maximize clicks,"3,061",281,9.18%,USD,0.79,221.23,9.98,22.16,3.55%,299.44,1.35,Contact: 3.00; Get directions: 9.98,Contact: 36.00; Get directions: 299.44
S. Shopping - Selected Products - 26/12/24 -ZS,Enabled,Shopping,Maximize clicks,"100,962","1,533",1.52%,USD,1.08,1653.3,89.3,18.51,5.83%,"3,272.70",1.98,Contact: 1.00; Get directions: 29.95; Store visit: 59.36,"Contact: 12.00; Get directions: 898.48; Store visit: 2,374.22"
Website traffic feb 2025,Enabled,Search,Maximize Conversions,0,0,0,USD,0,0,0,0,0,0,0,0,0
Website traffic-Search-ZS-25/12/23,Enabled,Search,Maximize Conversion Value,"25,807","2,957",11.46%,USD,1.03,3040.16,366.11,8.3,12.38%,"13,424.97",4.42,Contact: 196.00; Get directions: 121.94; Phone call lead: 39.15; Store visit: 244.17,"Contact: 2,352.00; Get directions: 3,658.15; Phone call lead: 783.04; Store visit: 9,766.81"
